"package","n"
"SMME",181
"smdocker",181
"SKNN",181
"simode",181
"SimBIID",181
"signibox",181
"shinyMolBio",181
"scINSIGHT",181
"scapGNN",181
"sbgcop",181
"RRRR",181
"rpmodel",181
"rocbc",181
"robnptests",181
"RImagePalette",181
"rgr",181
"resumer",181
"reportRmd",181
"r2pptx",181
"powerbydesign",181
"peopleanalyticsdata",181
"patentr",181
"oxcAAR",181
"ox",181
"orsifronts",181
"ORCME",181
"npphen",181
"nmathresh",181
"natstrat",181
"MultiGlarmaVarSel",181
"msde",181
"morpheus",181
"mixcat",181
"lite",181
"liayson",181
"Landmarking",181
"kidsides",181
"jrSiCKLSNMF",181
"JOUSBoost",181
"joinXL",181
"ivsacim",181
"IBDsim",181
"housingData",181
"hmmTMB",181
"HDBRR",181
"gwasforest",181
"GVARX",181
"graphclust",181
"GramQuad",181
"GLSME",181
"ggFishPlots",181
"getable",181
"geoelectrics",181
"funLBM",181
"FEA",181
"ensurer",181
"eFRED",181
"ebnm",181
"dynamAedes",181
"DominoDataR",181
"dmutate",181
"dissCqN",181
"discrtr",181
"degross",181
"currencyapi",181
"csampling",181
"CruzPlot",181
"christmas",181
"CASCORE",181
"bpca",181
"BLOQ",181
"blockmatrix",181
"baskexact",181
"armspp",181
"agghoo",181
"WufooR",180
"treedata.table",180
"tidygapminder",180
"survival666",180
"survidm",180
"streambugs",180
"stampr",180
"sse",180
"ssaBSS",180
"skewMLRM",180
"shinyfilter",180
"seqDesign",180
"santaR",180
"RSSthemes",180
"riskyr",180
"Rirt",180
"rggobi",180
"registr",180
"RationalMatrix",180
"R2sample",180
"proverbs",180
"OnboardClient",180
"NLPutils",180
"neuralGAM",180
"msos",180
"monoClust",180
"mnet",180
"LSPFP",180
"Langevin",180
"landmix",180
"inctools",180
"immcp",180
"hopit",180
"hero",180
"headliner",180
"hacksaw",180
"greta.gp",180
"ggblend",180
"gelnet",180
"gdiff",180
"GAIPE",180
"funmediation",180
"fpest",180
"forestat",180
"fdaPOIFD",180
"factset.protobuf.stach.v2",180
"ercv",180
"EMSS",180
"eemdARIMA",180
"edecob",180
"DTRKernSmooth",180
"DiversificationR",180
"diveR",180
"dga",180
"desiR",180
"dematel",180
"ddtlcm",180
"CustomerScoringMetrics",180
"ctmva",180
"CRM",180
"CPAT",180
"corrgrapher",180
"contribution",180
"CommonMean.Copula",180
"clusteredinterference",180
"cinaRgenesets",180
"chem.databases",180
"CEEMDANML",180
"briKmeans",180
"BoltzMM",180
"bndovb",180
"BINCOR",180
"beast",180
"bdribs",180
"ArArRedux",180
"Aoptbdtvc",180
"ampd",180
"alphabetr",180
"ageutils",180
"zoomGroupStats",179
"WRI",179
"wcde",179
"wally",179
"treenomial",179
"topdowntimeratio",179
"tdm",179
"stacomirtools",179
"sklarsomega",179
"sjdbc",179
"simsl",179
"sensR",179
"SEIRfansy",179
"saeMSPE",179
"sae2",179
"RTMB",179
"rosetteApi",179
"ROptRegTS",179
"rocker",179
"rNeighborGWAS",179
"Rlinkedin",179
"rema",179
"recorder",179
"qtl2convert",179
"psda",179
"POET",179
"pharmaverse",179
"OrdFacReg",179
"oclust",179
"ocd",179
"neo4jshell",179
"ndl",179
"MultivariateRandomForest",179
"msSPChelpR",179
"ML2Pvae",179
"micd",179
"matric",179
"makePalette",179
"lsbclust",179
"linkprediction",179
"knitxl",179
"kmodR",179
"itp",179
"iterLap",179
"Isinglandr",179
"invctr",179
"ImputeRobust",179
"ical",179
"hippie",179
"grex",179
"fdaACF",179
"estimateW",179
"DrDimont",179
"DPQmpfr",179
"dmri.tracking",179
"diffEnrich",179
"dataspice",179
"cropDemand",179
"Convolutioner",179
"CoImp",179
"cmprskQR",179
"ClimInd",179
"chronochrt",179
"cepR",179
"ccrtm",179
"calACS",179
"BlockMissingData",179
"bivrp",179
"bingat",179
"bamm",179
"BallMapper",179
"ART",179
"anybadger",179
"aniview",179
"alphaci",179
"vennplot",178
"TSdbi",178
"troopdata",178
"TCIApathfinder",178
"survexp.fr",178
"StrucDiv",178
"SSVS",178
"spellcheckr",178
"speedycode",178
"SOPC",178
"slim",178
"SLFPCA",178
"scgwr",178
"rWCVP",178
"Rsfar",178
"robservable",178
"RobPer",178
"rlc",178
"renz",178
"recogito",178
"rAverage",178
"PopVar",178
"pooling",178
"poisFErobust",178
"plumbertableau",178
"phylosignal",178
"pheble",178
"orgR",178
"opusminer",178
"opGMMassessment",178
"mpower",178
"monobinShiny",178
"MOEADr",178
"modACDC",178
"mnis",178
"minMSE",178
"mcreplicate",178
"MazamaSpatialPlots",178
"MarkedPointProcess",178
"mappp",178
"Mapinguari",178
"MakefileR",178
"mads",178
"LogisticRCI",178
"lazyData",178
"L2E",178
"kinship",178
"IPWboxplot",178
"hspm",178
"hrt",178
"hacksig",178
"glycanr",178
"gghilbertstrings",178
"gesisdata",178
"genomic.autocorr",178
"geesmv",178
"gdsfmt",178
"freecurrencyapi",178
"forImage",178
"etrm",178
"epo",178
"DTWBI",178
"dmtools",178
"curveDepth",178
"bssn",178
"BRL",178
"boinet",178
"BlythStillCasellaCI",178
"binaryMM",178
"bahc",178
"autoMFA",178
"ALUES",178
"aides",178
"whippr",177
"VisitorCounts",177
"varrank",177
"tscopula",177
"tranSurv",177
"timelineS",177
"taxonbridge",177
"Sysrecon",177
"spectralGP",177
"slgf",177
"SLEMI",177
"shinyMergely",177
"sglasso",177
"sendigR",177
"sdwd",177
"ScreeNOT",177
"safestats",177
"s3.resourcer",177
"Rwofost",177
"rococo",177
"risks",177
"regDIF",177
"Rearrangement",177
"Rcurvep",177
"pseval",177
"peptider",177
"penPHcure",177
"parqr",177
"optR",177
"OBsMD",177
"nonneg.cg",177
"negligible",177
"multibiasmeta",177
"MixviR",177
"march",177
"mactivate",177
"LqG",177
"LDcorSV",177
"isoboost",177
"ib",177
"hIRT",177
"heuristica",177
"hdiVAR",177
"HDCI",177
"glmtlp",177
"gamRR",177
"filterNHP",177
"Evacluster",177
"essentials",177
"epicasting",177
"envDocument",177
"elastes",177
"eiopaR",177
"EESPCA",177
"edcpR",177
"dynaSpec",177
"DLSSM",177
"DLL",177
"distfree.cr",177
"dineR",177
"DICOMread",177
"crossurr",177
"CPC",177
"covafillr",177
"chunkR",177
"changer",177
"biplotbootGUI",177
"bingadsR",177
"arnie",177
"AnimalHabitatNetwork",177
"zalpha",176
"weyl",176
"welo",176
"via",176
"trainR",176
"tidycwl",176
"TBRDist",176
"tableMatrix",176
"SRTsim",176
"speechbr",176
"sovereign",176
"slasso",176
"servosphereR",176
"rvalues",176
"rSAFE",176
"rplos",176
"ROptEstOld",176
"robin",176
"revgeo",176
"RedisBaseContainer",176
"rcolors",176
"ravedash",176
"rasterbc",176
"pln",176
"photobiologyLEDs",176
"pesel",176
"pbo",176
"normalr",176
"noise",176
"nima",176
"Newdistns",176
"modelfree",176
"MOCHA",176
"mfaces",176
"memgene",176
"MaximinInfer",176
"mapaccuracy",176
"leem",176
"lboxcox",176
"jointCalib",176
"ivgets",176
"iscoCrosswalks",176
"iotarelr",176
"icesDatsuQC",176
"HistDat",176
"hfhub",176
"healthyverse",176
"hawkes",176
"graphPAF",176
"glm.deploy",176
"ghapps",176
"ggredist",176
"ggcleveland",176
"footprint",176
"flipscores",176
"FinNet",176
"fbnet",176
"facerec",176
"experDesign",176
"ExNRuleEnsemble",176
"eoR",176
"EMP",176
"dyntaper",176
"dstat2x2xk",176
"DNAmixturesLite",176
"diproperm",176
"dbWebForms",176
"dataMeta",176
"cuperdec",176
"crunchy",176
"compareMCMCs",176
"cobiclust",176
"clickb",176
"CircMLE",176
"chyper",176
"callsync",176
"Buddle",176
"Bayesiantreg",176
"BartMixVs",176
"AutoPipe",176
"atRisk",176
"wacolors",175
"viscomp",175
"virustotal",175
"viking",175
"tidysq",175
"takos",175
"SurvCorr",175
"stray",175
"smapr",175
"secuTrialR",175
"samplesizeCMH",175
"rocc",175
"robustrao",175
"rfacts",175
"RevGadgets",175
"resde",175
"rdryad",175
"rciplot",175
"ratematrix",175
"rapsimng",175
"provExplainR",175
"PRISMA",175
"pompp",175
"pomodoro",175
"pmclust",175
"plotluck",175
"places",175
"permubiome",175
"OTRselect",175
"nifti.io",175
"neuronorm",175
"Mychisq",175
"MSCsimtester",175
"mobr",175
"mlmpower",175
"memor",175
"MaxentVariableSelection",175
"lconnect",175
"ktweedie",175
"keyringr",175
"Iscores",175
"ipsecr",175
"iNZightTS",175
"IDF",175
"iCARH",175
"hgwrr",175
"GWpcor",175
"GRANBase",175
"GPUmatrix",175
"ginormal",175
"Gammareg",175
"gamlss.demo",175
"GADMTools",175
"FSM",175
"fitlandr",175
"expDB",175
"EEM",175
"EcotoneFinder",175
"drpop",175
"drcSeedGerm",175
"dragulaR",175
"dcifer",175
"D2MCS",175
"CryptRndTest",175
"cPCG",175
"CoxBcv",175
"covsim",175
"ContRespPP",175
"colorist",175
"cipheR",175
"CINE",175
"chunkhooks",175
"censusr",175
"ccpsyc",175
"causalPAF",175
"catch",175
"bnClustOmics",175
"bmggum",175
"BayesNSGP",175
"BACprior",175
"aws.lambda",175
"astrodatR",175
"wildviz",174
"WaveletANN",174
"volcanoPlot",174
"versionsort",174
"ussherR",174
"tspredit",174
"TSMySQL",174
"trekfont",174
"tglkmeans",174
"Tcomp",174
"switchSelection",174
"SVN",174
"stmCorrViz",174
"SSNbayes",174
"SSHAARP",174
"SQN",174
"SPAS",174
"sorcering",174
"SMMT",174
"SimilaR",174
"sim1000G",174
"shiny.telemetry",174
"scrobbler",174
"ROCket",174
"RobustIV",174
"RND",174
"RGoogleAnalyticsPremium",174
"refreg",174
"psSubpathway",174
"productivity",174
"precisely",174
"PPCI",174
"postpack",174
"polypoly",174
"PlatformDesign",174
"pixelpuzzle",174
"pdSpecEst",174
"OptCirClust",174
"onpoint",174
"Observation",174
"objectremover",174
"noncompliance",174
"NMAoutlier",174
"mlmhelpr",174
"miRtest",174
"mcmcderive",174
"mcca",174
"mbreaks",174
"long2lstmarray",174
"landscapeR",174
"jgsbook",174
"invGauss",174
"in2extRemes",174
"HurreconR",174
"hillshader",174
"googleTagManageR",174
"GLCMTextures",174
"ggpage",174
"ggalignment",174
"gexp",174
"fspe",174
"fgitR",174
"FastRCS",174
"EnvNJ",174
"EDOIF",174
"ecic",174
"draw",174
"docore",174
"discAUC",174
"DAAGxtras",174
"CSCNet",174
"credsubs",174
"colorhcplot",174
"CJIVE",174
"cases",174
"bulletcp",174
"BSPADATA",174
"BivRegBLS",174
"biosensors.usc",174
"bellreg",174
"banxicoR",174
"aos",174
"zmisc",173
"VariableScreening",173
"unstruwwel",173
"tidydatatutor",173
"tidyboot",173
"tardis",173
"stlELM",173
"SPREDA",173
"skater",173
"simpleCache",173
"shiny.reglog",173
"shinyr",173
"shinydrive",173
"shiny.blueprint",173
"serp",173
"sams",173
"rwicc",173
"ruijter",173
"ROI.plugin.clarabel",173
"riskclustr",173
"racademyocean",173
"PSAboot",173
"ProbeDeveloper",173
"preputils",173
"powerplus",173
"PBImisc",173
"patternator",173
"ParetoPosStable",173
"papci",173
"OneArm2stage",173
"NetSci",173
"missCforest",173
"MHTdiscrete",173
"marketr",173
"longitudinalcascade",173
"logisticRR",173
"lmDiallel",173
"LFApp",173
"latentFactoR",173
"ipfr",173
"ImML",173
"imcExperiment",173
"hkevp",173
"highMLR",173
"GSIF",173
"GPoM",173
"GenAlgo",173
"gamlss.inf",173
"fpcb",173
"fomantic.plus",173
"featureCorMatrix",173
"factset.protobuf.stachextensions",173
"exactamente",173
"EwR",173
"dsrTest",173
"documenter",173
"denoiseR",173
"datafsm",173
"ctgt",173
"copulaboost",173
"CohortExplorer",173
"codacore",173
"ChoR",173
"bpDir",173
"bigdatadist",173
"arena2r",173
"angstroms",173
"wowa",172
"varoc",172
"tsensembler",172
"TrumpetPlots",172
"tribe",172
"TMTI",172
"tmsens",172
"StempCens",172
"SPOUSE",172
"spatstat.gui",172
"sgat",172
"sandbox",172
"SAFD",172
"RSmallTelescopes",172
"robusTest",172
"RagGrid",172
"R2DT",172
"QRegVCM",172
"qgcompint",172
"pwrRasch",172
"psrwe",172
"predhy.GUI",172
"poolHelper",172
"phase1PRMD",172
"pcatsAPIclientR",172
"optional",172
"noisemodel",172
"nlmixr2lib",172
"nic",172
"netassoc",172
"molnet",172
"modehunt",172
"mixtox",172
"missSOM",172
"MCPModPack",172
"mcmsupply",172
"MChtest",172
"mcbiopi",172
"markdownInput",172
"LPDynR",172
"LOGAN",172
"LifeInsuranceContracts",172
"lcda",172
"kiwisR",172
"kesernetwork",172
"japanstat",172
"intRinsic",172
"howManyImputations",172
"heapsofpapers",172
"gravmagsubs",172
"FADA",172
"eirm",172
"ecostatscale",172
"DNMF",172
"digitTests",172
"diffpriv",172
"DeltaMAN",172
"deep",172
"CVEK",172
"crossword.r",172
"cprr",172
"conductor",172
"Comp2ROC",172
"cohortBuilder",172
"cgmquantify",172
"caROC",172
"canaper",172
"Calculator.LR.FNs",172
"Boptbd",172
"BBI",172
"bark",172
"ARHT",172
"ards",172
"amapro",172
"alphaN",172
"windows.pls",171
"volatilityTrader",171
"TSEntropies",171
"srm",171
"shiny.emptystate",171
"RobRex",171
"RobGARCHBoot",171
"Rigma",171
"reportReg",171
"remotePARTS",171
"regrrr",171
"readmoRe",171
"RAMClustR",171
"pvcurveanalysis",171
"PortfolioOptim",171
"pmxcode",171
"PLSiMCpp",171
"pingers",171
"PhaseTypeR",171
"pcSteiner",171
"osmplotr",171
"ordinalgmifs",171
"OneStep",171
"noweb",171
"NetworkRiskMeasures",171
"MSPRT",171
"modelimpact",171
"mistral",171
"mds",171
"LOST",171
"lorentz",171
"Laterality",171
"kinematics",171
"ImportanceIndice",171
"iDOVE",171
"GIC",171
"ggversa",171
"funspace",171
"functiondepends",171
"flexmet",171
"europeanaR",171
"esDesign",171
"esaps",171
"em",171
"ELYP",171
"elsa",171
"EEMDlstm",171
"easypower",171
"DynForest",171
"deformula",171
"CorBin",171
"collpcm",171
"codez",171
"cnum",171
"CIfinder",171
"ccTensor",171
"bpgmm",171
"bootLR",171
"bodenmiller",171
"blocs",171
"BayesRep",171
"aws.translate",171
"ambhasGW",171
"xQTLbiolinks",170
"voiceR",170
"TwoStepCLogit",170
"TRMF",170
"traudem",170
"trackter",170
"toweranNA",170
"tdata",170
"survSpearman",170
"SurveyCC",170
"supc",170
"stellaR",170
"starry",170
"starnet",170
"siqr",170
"simMSM",170
"ShapleyOutlier",170
"sdmvspecies",170
"rSpectral",170
"roughnet",170
"rgnoisefilt",170
"RespirAnalyzer",170
"reservoir",170
"rankhazard",170
"pscore",170
"proxirr",170
"propr",170
"ProcMod",170
"PressPurt",170
"PosRatioDist",170
"plantTracker",170
"peermodels",170
"oceCens",170
"multiDimBio",170
"MultEq",170
"mscp",170
"MRTSampleSize",170
"modelwordcloud",170
"mmstat4",170
"Missplot",170
"MGDrivE2",170
"meteo",170
"mcvis",170
"mailtoR",170
"lineup2",170
"KraljicMatrix",170
"index0",170
"imagefx",170
"hyperbrick",170
"handyFunctions",170
"growth",170
"ggrasp",170
"fullROC",170
"freqpcr",170
"frair",170
"fastlogitME",170
"ez.combat",170
"EHRtemporalVariability",170
"echelon",170
"DWLS",170
"DrugSim2DR",170
"DOSPortfolio",170
"ddst",170
"dataresqc",170
"dadjoke",170
"csn",170
"concstats",170
"CompositeReliability",170
"CNprep",170
"CHNCapitalStock",170
"chantrics",170
"CausCor",170
"CARlasso",170
"CancerGram",170
"caffsim",170
"bluebike",170
"BiProbitPartial",170
"BioPET",170
"binst",170
"Bayenet",170
"basf",170
"aws.kms",170
"AutoWeatherIndices",170
"aspi",170
"ZVCV",169
"worrrd",169
"tsentiment",169
"treeheatr",169
"tongfen",169
"TipDatingBeast",169
"timbr",169
"TDAvec",169
"TAG",169
"SSLASSO",169
"SparseVFC",169
"sparkavro",169
"SNPRelate",169
"SimReg",169
"simexaft",169
"simaerep",169
"SigTree",169
"sGBJ",169
"SensitivityCaseControl",169
"SELF",169
"SBCK",169
"RockFab",169
"RobustANOVA",169
"rgeoprofile",169
"RcextTools",169
"rcDEA",169
"rbw",169
"RareComb",169
"QI",169
"ptools",169
"processmonitR",169
"polywog",169
"picR",169
"owmr",169
"owidR",169
"MultiplierDEA",169
"mStats",169
"MRReg",169
"modmarg",169
"MLGdata",169
"missDeaths",169
"mcb",169
"lterpalettefinder",169
"landform",169
"kernstadapt",169
"kernelFactory",169
"JustifyAlpha",169
"JSM",169
"isatabr",169
"irtGUI",169
"iAdapt",169
"hbal",169
"groupWQS",169
"FormShare",169
"FactorAssumptions",169
"fabCI",169
"ExtremeRisks",169
"distributionsrd",169
"disclosuR",169
"debkeepr",169
"dbnlearn",169
"cmpsR",169
"ClusVis",169
"CircSpaceTime",169
"CIEE",169
"CIAAWconsensus",169
"Bvalue",169
"BusinessDuration",169
"BreakPoints",169
"brainKCCA",169
"blsBandit",169
"biospear",169
"BayesESS",169
"banditpam",169
"badgen",169
"AST",169
"asciiruler",169
"AmyloGram",169
"TotalCopheneticIndex",168
"TBEST",168
"tablesgg",168
"starsTileServer",168
"stagedtrees",168
"Sojourn.Data",168
"SmoothHazard",168
"ShrinkCovMat",168
"shiny.tailwind",168
"SEset",168
"SenSpe",168
"semgram",168
"sdprisk",168
"SCGLR",168
"rIsing",168
"rgw",168
"RGE",168
"qpmadr",168
"qcv",168
"ptest",168
"prettyB",168
"postdoc",168
"PeakSegDP",168
"otsfeatures",168
"otsad",168
"nrba",168
"NO.PING.PONG",168
"nbc4va",168
"msd",168
"MRS",168
"mrregression",168
"mrbsizeR",168
"Modeler",168
"mixedsde",168
"MissingPlotRBD",168
"mdhglm",168
"lookupTable",168
"listarrays",168
"lablaster",168
"KSPM",168
"jmotif",168
"janus",168
"IMIX",168
"HeritSeq",168
"grt",168
"greta.dynamics",168
"GLMMselect",168
"GlarmaVarSel",168
"git4r",168
"GETdesigns",168
"GAMens",168
"galigor",168
"FuzzyPovertyR",168
"fuzzr",168
"FusionLearn",168
"fusionchartsR",168
"frontiles",168
"FeaLect",168
"fail",168
"exact.n",168
"EWGoF",168
"essHist",168
"esaddle",168
"erfe",168
"echoice2",168
"diffusr",168
"dGAselID",168
"DendroSync",168
"ddp",168
"DA",168
"ctsfeatures",168
"cts",168
"cryptoverse",168
"criticalpath",168
"concatipede",168
"CohortAlgebra",168
"circularEV",168
"changepoint.geo",168
"cctools",168
"carpenter",168
"CARM",168
"BSagri",168
"braidReports",168
"blender",168
"BivGeo",168
"Bioi",168
"BayesFluxR",168
"ZetaSuite",167
"wordler",167
"voteogram",167
"tsvr",167
"TSVC",167
"TransPhylo",167
"textile",167
"TextForecast",167
"tablecompare",167
"STPGA",167
"StackImpute",167
"SpiceFP",167
"SpatialML",167
"shinymodels",167
"score",167
"sanityTracker",167
"rgoogleclassroom",167
"recodeflow",167
"pop.lion",167
"plumbr",167
"pguIMP",167
"PermutationR",167
"partDSA",167
"parallelpam",167
"onc.api",167
"omics",167
"OmegaG",167
"NonProbEst",167
"mvtmeta",167
"mvMonitoring",167
"MisRepARMA",167
"metevalue",167
"margaret",167
"MainExistingDatasets",167
"LRQMM",167
"LocalControlStrategy",167
"lira",167
"lcra",167
"labNorm",167
"kntnr",167
"KinMixLite",167
"iNZightMR",167
"IIVpredictor",167
"IBCF.MTME",167
"helixvis",167
"HDLSSkST",167
"gwpcormapper",167
"graphhopper",167
"glmtrans",167
"ggtricks",167
"gaiah",167
"gafit",167
"flagr",167
"fdANOVA",167
"fastWavelets",167
"extremeIndex",167
"ExplainPrediction",167
"exCon",167
"et.nwfva",167
"EnsembleCV",167
"ECctmc",167
"dseplus",167
"drimmR",167
"customizedTraining",167
"corels",167
"condorOptions",167
"comsimitv",167
"clinmon",167
"ClickClustCont",167
"citrus",167
"cifti",167
"CHOIRBM",167
"cdgd",167
"ccRemover",167
"CC",167
"Brundle",167
"BondValuation",167
"bite",167
"BetaPASS",167
"BayesMixSurv",167
"AssocAFC",167
"appnn",167
"APPEstimation",167
"wktmo",166
"weakARMA",166
"wcep",166
"virtualPollen",166
"valaddin",166
"umbridge",166
"translated",166
"tidytreatment",166
"thregI",166
"SvyNom",166
"stockR",166
"spduration",166
"SpatialGraph",166
"SMITIDvisu",166
"slanter",166
"simEd",166
"simdd",166
"shinyPredict",166
"shiny.info",166
"RKUM",166
"RKEA",166
"RImageJROI",166
"recurrentpseudo",166
"readsdr",166
"rddi",166
"RcppMsgPack",166
"precintcon",166
"ppmf",166
"PolicyPortfolios",166
"Phase12Compare",166
"pems.utils",166
"pedigreeTools",166
"pcdpca",166
"optBiomarker",166
"NonlinearTSA",166
"NMI",166
"monographaR",166
"MoBPS",166
"mnda",166
"mmcif",166
"metabup",166
"markets",166
"ljr",166
"LDATree",166
"languagelayeR",166
"JNplots",166
"JLPM",166
"iconr",166
"HyperG",166
"HSEtest",166
"highDmean",166
"gremlin",166
"GmptzCurve",166
"gghdr",166
"genogeographer",166
"findPackage",166
"FinAna",166
"facebookadsR",166
"eufmdis.adapt",166
"etrader",166
"ER",166
"easyreg",166
"duawranglr",166
"drugprepr",166
"diseq",166
"DiscreteLaplace",166
"disclapmix2",166
"densitr",166
"DeductiveR",166
"DBfit",166
"DArand",166
"countcolors",166
"convdistr",166
"CompModels",166
"CombinS",166
"clttools",166
"cesR",166
"CalSim",166
"CAinterprTools",166
"bivgeom",166
"bcmixed",166
"attenuation",166
"AntAngioCOOL",166
"xhaz",165
"visit",165
"vasicekreg",165
"trekcolors",165
"treefit",165
"TestAnaAPP",165
"TempStable",165
"tablexlsx",165
"svIDE",165
"survout",165
"surveybootstrap",165
"stocc",165
"spt",165
"sparseLTSEigen",165
"SparseFactorAnalysis",165
"skm",165
"shinyreforms",165
"seqimpute",165
"rzentra",165
"RSADBE",165
"RPPASPACE",165
"RHybridFinder",165
"RcppClock",165
"RArcInfo",165
"randomUniformForest",165
"RADstackshelpR",165
"r2dictionary",165
"PrInDT",165
"ppendemic",165
"postGGIR",165
"play",165
"phase1RMD",165
"OptiSembleForecasting",165
"NSO1212",165
"neutralitytestr",165
"nemBM",165
"NCC",165
"multiness",165
"multilevelPSA",165
"mpmcorrelogram",165
"moodleR",165
"mlmm.gwas",165
"mixbox",165
"missoNet",165
"miCoPTCM",165
"markovmix",165
"ltable",165
"langevitour",165
"l2boost",165
"kNNvs",165
"Kcop",165
"IsoCor",165
"hybridModels",165
"hildareadR",165
"heatmapFit",165
"hdcate",165
"GPGame",165
"gfilogisreg",165
"gamCopula",165
"fuel",165
"forecastLSW",165
"FertNet",165
"exactLTRE",165
"ess",165
"epos",165
"ellipticalsymmetry",165
"DirectedClustering",165
"decorators",165
"datadogr",165
"DatabaseConnectorJars",165
"custom.gauss.quad",165
"CrossValidate",165
"CIARA",165
"chromseq",165
"centrifugeR",165
"ccmEstimator",165
"CaseBasedReasoning",165
"BDP2",165
"arse",165
"area",165
"aisoph",165
"ztpln",164
"wordpredictor",164
"WaveSampling",164
"vkR",164
"vivaldi",164
"visualpred",164
"vhica",164
"trouBBlme4SolveR",164
"Taba",164
"swaprinc",164
"surv2sampleComp",164
"SSplots",164
"SportsTour",164
"SOPIE",164
"siteymlgen",164
"shinyToastify",164
"ScottKnottESD",164
"scoringTools",164
"scorecardModelUtils",164
"SCBiclust",164
"scalpel",164
"SALES",164
"saeHB.panel",164
"rwarrior",164
"RViennaCL",164
"robomit",164
"restorepoint",164
"RestoreNet",164
"ResidentialEnergyConsumption",164
"replicatedpp2w",164
"Replicate",164
"RColorConesa",164
"qCBA",164
"QCAcluster",164
"puls",164
"psbcGroup",164
"prepdat",164
"potential",164
"POSTm",164
"plotmm",164
"perccalc",164
"PCObw",164
"PBtDesigns",164
"paramhetero",164
"OrdCD",164
"optionstrat",164
"nspmix",164
"nmrrr",164
"nbconv",164
"monaco",164
"mlrintermbo",164
"MetaAnalyser",164
"mar1s",164
"lrd",164
"longurl",164
"logcondiscr",164
"lddmm",164
"klic",164
"kgp",164
"interca",164
"immuneSIM",164
"image.libfacedetection",164
"IFP",164
"hlt",164
"GRIDCOPULA",164
"globaltrends",164
"geofd",164
"FuncMap",164
"fullfact",164
"findSVI",164
"FamilyRank",164
"facebookorganicR",164
"facebookleadsR",164
"evolMap",164
"disttools",164
"denseFLMM",164
"DBpower",164
"cubing",164
"cPseudoMaRg",164
"covid19italy",164
"Copula.Markov.survival",164
"combinationpvalues",164
"cloudstoR",164
"CircNNTSRmult",164
"cfma",164
"cfid",164
"ccda",164
"BSW",164
"bethel",164
"bayesvl",164
"autocart",164
"AutoAds",164
"xml2relational",163
"wtest",163
"WLreg",163
"weaana",163
"vueR",163
"vmdTDNN",163
"VarReg",163
"TT",163
"TesiproV",163
"tensr",163
"StemAnalysis",163
"socialrisk",163
"simrel",163
"shroomDK",163
"sensitivitymv",163
"seedreg",163
"RMThreshold",163
"rmonad",163
"riAFTBART",163
"rhosa",163
"rem",163
"rapidraker",163
"rankdifferencetest",163
"PVR",163
"promr",163
"prismjs",163
"picker",163
"photobiologyPlants",163
"PantaRhei",163
"OneArmTTE",163
"MLZ",163
"mcwr",163
"LPS",163
"lodi",163
"lmreg",163
"informedSen",163
"image.ContourDetector",163
"hypoRF",163
"hopach",163
"historydata",163
"hexfont",163
"glmglrt",163
"gerbil",163
"genTS",163
"geno2proteo",163
"geneticae",163
"genderstat",163
"GenderInfer",163
"gapclosing",163
"FWDselect",163
"forestr",163
"flying",163
"ezmmek",163
"elisr",163
"EGRNi",163
"EDISON",163
"easydb",163
"docknitr",163
"dgumbel",163
"detectnorm",163
"coreSim",163
"ContourFunctions",163
"CloneSeeker",163
"chebpol",163
"chartql",163
"ccss",163
"catfun",163
"cacc",163
"BrownDog",163
"binfunest",163
"BCSub",163
"bayclumpr",163
"aws.transcribe",163
"AtlasMaker",163
"Z10",162
"workloopR",162
"WGScan",162
"Wcompo",162
"WARN",162
"VSOLassoBag",162
"TriadSim",162
"translate.logit",162
"transform.hazards",162
"Tendril",162
"SurrogateTest",162
"stops",162
"srcr",162
"spfda",162
"soundcorrs",162
"sleeperapi",162
"sirus",162
"SIMplyBee",162
"ROI.models.miplib",162
"RelimpPCR",162
"readroper",162
"Rduinoiot",162
"RAMP",162
"qtlmt",162
"pssmooth",162
"popPyramid",162
"plinkFile",162
"PEIMAN2",162
"pbm",162
"pbcc",162
"panelWranglR",162
"pacviz",162
"oro.pet",162
"ollg",162
"noisyr",162
"nimbleAPT",162
"netcom",162
"naflex",162
"mwTensor",162
"Multiaovbay",162
"MICsplines",162
"MCID",162
"MAZE",162
"LREP",162
"KingCountyHouses",162
"jackknifeKME",162
"Interatrix",162
"imageseg",162
"ICED",162
"HPLB",162
"Holomics",162
"holiglm",162
"hdbinseg",162
"gpmap",162
"GMDHreg",162
"GGMridge",162
"geodimension",162
"GAGAs",162
"freshr",162
"fracprolif",162
"flam",162
"FitAR",162
"ezEDA",162
"ensembleTax",162
"easyalluvial",162
"dendrometry",162
"ctmle",162
"cryptowatchR",162
"convertr",162
"CMFsurrogate",162
"clustEff",162
"calcUnique",162
"brsim",162
"boodist",162
"bisectr",162
"appsheet",162
"altR2",162
"XGR",161
"vampyr",161
"TSS.RESTREND",161
"TEQR",161
"TemporalGSSA",161
"SubtypeDrug",161
"spqdep",161
"spldv",161
"spinner",161
"SIMICO",161
"sense",161
"selcorr",161
"scPloidy",161
"saekernel",161
"rpm",161
"RMOA",161
"rkafkajars",161
"relax",161
"rareNMtests",161
"Rapp",161
"pqrfe",161
"PieGlyph",161
"PHeval",161
"ohtadstats",161
"ODB",161
"NSAE",161
"nlcv",161
"nhlapi",161
"newFocus",161
"nemtr",161
"MRZero",161
"MPCI",161
"moderate.mediation",161
"mkde",161
